N;sotr_exchange;sotr_select;sort_insert;heap_sort;quick_sort;
1000;0.0208697;0.00598801;0.00811072;0.000651423;0.000392954;
2000;0.0316496;0.0077744;0.00964405;0.000694127;0.000283618;
3000;0.0607156;0.0170261;0.021948;0.00084846;0.000413975;
4000;0.108806;0.0300238;0.0395604;0.0011688;0.000569462;
5000;0.170349;0.0467989;0.061397;0.00155448;0.000709036;
6000;0.240839;0.0670216;0.0875853;0.00184436;0.000870013;
7000;0.324172;0.0900426;0.117159;0.00218969;0.00100209;
8000;0.422032;0.117509;0.153223;0.002546;0.00115865;
9000;0.53494;0.148736;0.193425;0.00289313;0.00130743;
10000;0.661649;0.183626;0.239399;0.00325957;0.00153567;
11000;0.80275;0.223095;0.288849;0.00364921;0.00161149;
12000;0.951545;0.265445;0.343294;0.00402277;0.00177502;
13000;1.11283;0.311117;0.402461;0.00438512;0.00197135;
14000;1.30017;0.361648;0.474964;0.00474853;0.00210413;
15000;1.48864;0.413348;0.544214;0.00512505;0.00221359;
16000;1.68826;0.470489;0.614751;0.0055041;0.00237881;
17000;1.90535;0.530526;0.68971;0.00590891;0.00263008;
18000;2.14784;0.595795;0.77751;0.00626068;0.00272778;
19000;2.38062;0.663788;0.866367;0.00666541;0.00289123;
